nome,cpf,idade,data,endereco,bairro,estado
Sr. Samuel Barbosa,903 .***.***- 23,,,"Distrito Jesus, 34",Vila Rica,RS
Dr. Cauê Ramos,109 .***.***- 34,,,"Viela de Castro, 27",Álvaro Camargos,DF
Bruno Jesus,354 .***.***- 42,,,"Campo Moreira, 48",Tirol,RN
Lívia Correia,843 .***.***- 65,,,"Favela de da Rocha, 6",Carlos Prates,MS
Enrico da Rocha,241 .***.***- 05,,,Condomínio Maria Julia Cavalcanti,Vila São Dimas,PA
Rafaela Aragão,269 .***.***- 22,,,Chácara Maria Fernanda Castro,Marajó,PB
Dr. Marcos Vinicius Farias,475 .***.***- 80,,,Ladeira Castro,Jardim São José,MA
Larissa Lopes,015 .***.***- 12,,,"Largo Cavalcanti, 96",Floramar,SC
Isadora Carvalho,917 .***.***- 13,,,"Pátio de da Paz, 57",São João,SC
Sr. Vitor da Rocha,234 .***.***- 51,,,"Recanto de Novaes, 32",Serra Do Curral,TO
Isadora Pereira,501 .***.***- 06,,,"Jardim Stella da Costa, 91",Pompéia,BA
Dr. Bernardo da Cunha,147 .***.***- 79,,,"Residencial Marina Azevedo, 89",Lagoinha Leblon,MT
Gabrielly Mendes,954 .***.***- 50,,,"Praça João Rezende, 30",Céu Azul,RJ
Sr. Bruno da Mata,473 .***.***- 99,,,"Chácara Alice Ferreira, 678",Vila Calafate,TO
Breno Rocha,237 .***.***- 52,,,Estação de Rodrigues,Tres Marias,PA
Luigi Ferreira,148 .***.***- 19,,,Trevo Vieira,Nossa Senhora Aparecida,AP
Davi Lucca da Cruz,862 .***.***- 78,,,"Sítio de Novaes, 75",Vila São Dimas,AL
Henrique Almeida,824 .***.***- 31,,,"Área da Costa, 29",Dona Clara,MS
Dr. Vitor Hugo Caldeira,943 .***.***- 42,,,"Feira da Costa, 17",Vila Dos Anjos,SE
Alexia Souza,348 .***.***- 48,,,"Lagoa Alves, 97",Buritis,MT
Luiza Azevedo,683 .***.***- 92,,,"Recanto Elisa da Mota, 8",Alípio De Melo,AL
Dr. Kaique da Mota,143 .***.***- 60,,,"Setor Vinicius Moraes, 475",Nossa Senhora Aparecida,TO
Laura Lima,051 .***.***- 41,,,"Área Oliveira, 91",São Paulo,SP
Raul Rodrigues,039 .***.***- 05,,,"Aeroporto da Rocha, 499",Estrela,BA
Joaquim Melo,305 .***.***- 21,,,"Ladeira Ribeiro, 6",Vila Santo Antônio,PE
Benjamin Cardoso,054 .***.***- 44,,,"Trevo da Cunha, 2",São Bento,AL
João Miguel Lopes,741 .***.***- 26,,,"Via de Nunes, 63",Olaria,ES
Letícia da Mota,587 .***.***- 02,,,"Travessa de Lopes, 205",Mariano De Abreu,CE
Levi da Rocha,840 .***.***- 92,,,"Via Brenda Cunha, 49",Vila Da Ária,AC
Lorena Caldeira,625 .***.***- 60,,,"Praça Ana Luiza Fernandes, 5",Conjunto Jatoba,BA
Cauê Nogueira,473 .***.***- 64,,,Recanto Melo,Conjunto Providencia,ES
Sra. Yasmin Ferreira,805 .***.***- 68,,,"Lago de da Cunha, 6",Custodinha,RN
Nicole Almeida,529 .***.***- 79,,,Chácara João Gabriel Nogueira,Goiania,MG
Fernando Pereira,560 .***.***- 59,,,"Trecho de Rodrigues, 659",Alto Das Antenas,PR
Breno Pereira,916 .***.***- 91,,,"Residencial Gabriela Azevedo, 35",Vila Rica,PI
Clara Dias,190 .***.***- 50,,,"Conjunto da Conceição, 39",Outro,DF
Dra. Milena Vieira,237 .***.***- 87,,,"Campo Camila das Neves, 14",Granja De Freitas,MG
Vitor Gabriel Porto,394 .***.***- 43,,,"Residencial Luiza Correia, 598",Savassi,ES
Sr. Erick da Rosa,971 .***.***- 84,,,Núcleo de Caldeira,Vila São João Batista,AL
Marcos Vinicius da Cunha,709 .***.***- 04,,,"Lagoa de Rodrigues, 23",Vila Nova,RN
Sra. Nina Pires,651 .***.***- 26,,,"Viela Eloah Cunha, 42",Vila Suzana Primeira Seção,RS
Felipe Ribeiro,259 .***.***- 60,,,"Núcleo Maria Julia Cunha, 21",Vila Santa Rosa,PE
Maria Julia Porto,864 .***.***- 07,,,Alameda Nascimento,Vila Suzana Primeira Seção,GO
Pedro Cardoso,125 .***.***- 50,,,"Travessa de da Rosa, 86",Itaipu,PA
Rebeca da Paz,047 .***.***- 66,,,"Sítio de Costa, 5",Pantanal,TO
Enrico Gonçalves,637 .***.***- 46,,,Campo Bernardo Barros,Conjunto São Francisco De Assis,MG
Murilo Campos,031 .***.***- 22,,,Recanto Silva,João Paulo Ii,SP
Olivia Porto,608 .***.***- 65,,,"Conjunto Almeida, 3",Bela Vitoria,AC
Mirella da Conceição,854 .***.***- 05,,,"Pátio João Lucas Cardoso, 77",Maria Tereza,AM
Stephany Cardoso,453 .***.***- 46,,,"Praia Luiz Gustavo da Luz, 83",São João Batista,RO
Sr. Enrico Melo,829 .***.***- 89,,,"Esplanada Farias, 252",Caetano Furquim,GO
Dr. Gabriel Souza,432 .***.***- 52,,,"Rodovia de Costela, 116",São Geraldo,CE
Davi Jesus,914 .***.***- 70,,,"Quadra Vieira, 230",Cdi Jatoba,RO
Guilherme Freitas,517 .***.***- 07,,,"Trecho de Caldeira, 369",Santa Sofia,SE
Theo Costa,705 .***.***- 49,,,"Largo João Santos, 10",Vila Batik,RN
Dr. Gustavo Henrique das Neves,430 .***.***- 00,,,"Setor Juliana Fogaça, 605",Piraja,MA
Maria Luiza Gomes,821 .***.***- 53,,,"Área Ana Vitória Martins, 56",Xodo-Marize,BA
Davi Lucas Peixoto,610 .***.***- 07,,,"Área Thomas Moraes, 58",Canaa,RJ
Bruna Almeida,610 .***.***- 57,,,"Chácara Mendes, 64",Varzea Da Palma,PR
Juliana Ramos,846 .***.***- 05,,,"Vale de Duarte, 5",Horto Florestal,AM
Sarah Nascimento,560 .***.***- 99,,,"Alameda das Neves, 1",Planalto,MT
Brenda da Luz,037 .***.***- 22,,,"Viela Danilo Farias, 54",Lagoa,PE
Heloísa da Costa,648 .***.***- 19,,,"Favela Correia, 6",Vila Dos Anjos,SE
Emanuella Araújo,758 .***.***- 82,,,Rodovia Maria Julia Peixoto,Jardim Guanabara,AC
Vitor Viana,036 .***.***- 34,,,"Trecho de Oliveira, 41",Urca,AC
Yago Lopes,720 .***.***- 59,,,"Lagoa Danilo Fogaça, 756",Nova Gameleira,RO
Lívia Souza,308 .***.***- 50,,,"Colônia de Correia, 93",Laranjeiras,CE
Gabriela Cavalcanti,359 .***.***- 41,,,"Setor Oliveira, 4",São José,MA
Enzo Nogueira,309 .***.***- 00,,,Morro de Ferreira,Vila São João Batista,MG
Dr. Ian Barbosa,412 .***.***- 03,,,"Alameda Eduardo Barros, 60",Gameleira,PI
Gabriela Rocha,348 .***.***- 35,,,"Área Joaquim Nogueira, 98",Pedreira Padro Lopes,MA
Maria Julia Martins,576 .***.***- 12,,,"Loteamento de Nunes, 83",Jatobá,PB
Dra. Marina Santos,950 .***.***- 02,,,"Viela Alana Souza, 456",União,DF
Heloísa Teixeira,635 .***.***- 07,,,"Viela de da Cruz, 61",Bonsucesso,PA
Paulo Farias,593 .***.***- 15,,,"Esplanada Thomas Pires, 33",Providencia,AP
Gabrielly Cardoso,127 .***.***- 43,,,Estrada da Cruz,Aparecida,AP
Davi Aragão,598 .***.***- 20,,,"Residencial de Cardoso, 66",Vila Santo Antônio,SE
Yago Peixoto,380 .***.***- 05,,,"Condomínio de Nunes, 436",Vila Betânia,PI
Erick da Conceição,983 .***.***- 83,,,"Morro Nunes, 657",Ipe,CE
Isis Araújo,216 .***.***- 13,,,"Praia de Campos, 82",Vila Oeste,SP
Dr. Nicolas Rezende,460 .***.***- 49,,,"Esplanada Marcela Castro, 36",Flavio De Oliveira,PA
Sr. Samuel Nascimento,914 .***.***- 24,,,Setor Luana Ramos,Nova Pampulha,AC
Sra. Maria Fernanda Barbosa,718 .***.***- 03,,,"Esplanada Pedro Nascimento, 71",Vila São Paulo,GO
Luiz Felipe Farias,069 .***.***- 74,,,"Favela Kaique Fogaça, 19",Castelo,AL
Sr. Calebe Silva,402 .***.***- 49,,,Rodovia de Castro,Santa Branca,ES
Emanuella Gonçalves,107 .***.***- 02,,,endereco invalido,Desconhecido,Desconhecido
Augusto Oliveira,246 .***.***- 17,,,"Colônia Costa, 81",Vera Cruz,RO
Pedro Azevedo,953 .***.***- 65,,,"Vale Vieira, 49",Comiteco,RS
Sra. Maria Luiza Fogaça,650 .***.***- 06,,,"Recanto de Moreira, 426",Santo Agostinho,MT
Eduarda Oliveira,365 .***.***- 83,,,"Sítio Clarice Sales, 99",Silveira,PB
Paulo Ramos,490 .***.***- 43,,,Sítio Azevedo,Vila Mantiqueira,DF
Beatriz Pires,275 .***.***- 21,,,Recanto de Castro,Centro,MA
Fernando Azevedo,790 .***.***- 99,,,"Estação Rafael Nunes, 90",Jardim São José,RO
Eloah Silva,037 .***.***- 61,,,"Viela da Rocha, 160",Barão Homem De Melo 2ª Seção,BA
Caio Araújo,407 .***.***- 14,,,"Morro Ribeiro, 11",Casa Branca,GO
Sra. Valentina Sales,269 .***.***- 31,,,"Sítio Ramos, 73",Cachoeirinha,MG
Melissa Cunha,719 .***.***- 73,,,"Ladeira Luiza Pinto, 9",Conjunto Minas Caixa,MT
Laís da Paz,139 .***.***- 33,,,"Lagoa Cavalcanti, 12",Vila Ecológica,SP
Heitor Silveira,183 .***.***- 89,,,Avenida Azevedo,Santa Maria,MA
Fernanda Moraes,064 .***.***- 44,,,"Avenida Rocha, 13",Alta Tensão 2ª Seção,PI
Alana Souza,801 .***.***- 42,,,"Praia Moreira, 1",Cardoso,SE
Srta. Caroline da Rosa,192 .***.***- 98,,,"Passarela Rocha, 96",Buraco Quente,SP
Stephany Vieira,682 .***.***- 22,,,"Travessa Guilherme Carvalho, 7",Jonas Veiga,MS
Enzo Barros,794 .***.***- 16,,,"Estação Fernandes, 85",Nova Floresta,GO
Caroline Peixoto,036 .***.***- 30,,,"Loteamento Thales Pires, 51",Vila União,RR
Maria Vitória Novaes,804 .***.***- 58,,,"Via Vieira, 26",Ouro Preto,GO
Bruna Moura,240 .***.***- 06,,,"Quadra Amanda Martins, 4",Universo,MG
Maitê Peixoto,501 .***.***- 58,,,"Distrito Caldeira, 95",Serra,PI
Dr. Anthony Barbosa,749 .***.***- 20,,,"Distrito de Fogaça, 13",Pompéia,AP
Alexandre Jesus,269 .***.***- 34,,,"Aeroporto de Fogaça, 74",Vila Santa Monica 2ª Seção,BA
Marcos Vinicius Campos,421 .***.***- 22,,,"Trecho de Barbosa, 7",São José,RJ
João Miguel Moura,371 .***.***- 05,,,"Praça de Costela, 38",Renascença,MS
Ana Júlia Cardoso,096 .***.***- 00,,,"Praia da Mata, 88",Vila Piratininga Venda Nova,RJ
Stella Rodrigues,870 .***.***- 92,,,"Loteamento Maria Alice Costela, 63",Santa Maria,ES
Rebeca da Rosa,640 .***.***- 22,,,Trecho da Mata,Barroca,SC
Henrique Monteiro,378 .***.***- 73,,,"Largo Theo Silva, 91",Nossa Senhora Da Conceição,SP
Ana Beatriz Teixeira,243 .***.***- 17,,,"Viaduto Ferreira, 22",Goiania,PE
Luigi da Rosa,316 .***.***- 87,,,"Pátio de Rocha, 4",Cinquentenário,MG
Melissa Dias,170 .***.***- 05,,,"Quadra Isabel Castro, 40",Biquinhas,PI
Beatriz Nunes,483 .***.***- 44,,,"Praça das Neves, 274",São Jorge 3ª Seção,SC
Raquel Campos,213 .***.***- 13,,,"Estação Ana Lívia Farias, 3",Vila Santa Rosa,GO
Alícia Nascimento,578 .***.***- 59,,,"Aeroporto Alícia Vieira, 84",Comiteco,TO
Maria Julia Vieira,495 .***.***- 67,,,"Vale Oliveira, 15",Gameleira,PR
Igor Ramos,695 .***.***- 77,,,"Lago de Caldeira, 4",Beija Flor,AC
Alice Cardoso,123 .***.***- 09,,,"Viaduto Araújo, 76",São Bento,PR
Julia das Neves,201 .***.***- 32,,,"Praça Maria Sophia da Cunha, 71",Vila Batik,PI
Kamilly Rezende,470 .***.***- 74,,,"Setor de Pires, 39",Conjunto Jatoba,RO
Breno Freitas,205 .***.***- 41,,,"Loteamento de Ferreira, 24",Nova Suíça,PA
Ana Lívia da Paz,347 .***.***- 69,,,"Ladeira Gomes, 10",Califórnia,RJ
Sr. Daniel Cavalcanti,609 .***.***- 33,,,"Núcleo de da Paz, 894",Sion,GO
Sr. Pedro Cavalcanti,863 .***.***- 84,,,Recanto de Melo,Nossa Senhora Do Rosário,BA
João Melo,053 .***.***- 20,,,"Via de Santos, 172",Jardinópolis,AL
Eloah Viana,694 .***.***- 22,,,"Chácara Isabella Melo, 9",Engenho Nogueira,PB
Rafael da Mota, .***.***- ,,,"Condomínio Souza, 65",Leonina,AM
Catarina Vieira,631 .***.***- 28,,,"Lagoa Moraes, 1",Fazendinha,GO
Dra. Emanuelly da Luz,549 .***.***- 20,,,"Trevo Peixoto, 13",Jardim Alvorada,RS
Júlia Araújo,324 .***.***- 14,,,"Passarela de Alves, 45",Conjunto Celso Machado,AL
Enrico Aragão,496 .***.***- 34,,,Trevo de Porto,Jardim Leblon,AM
Sr. Bruno Pires,428 .***.***- 49,,,"Quadra Pinto, 896",Nova Gameleira,AM
Daniela Freitas,786 .***.***- 28,,,"Aeroporto de Pires, 59",Nossa Senhora Da Conceição,CE
Samuel Caldeira,801 .***.***- 86,,,Campo Monteiro,Cabana Do Pai Tomás,AP
Nome invalido,930 .***.***- 38,,,"Colônia da Rocha, 31",Jardim América,RN
Nome invalido,146 .***.***- 00,,,"Estrada Nogueira, 21",Atila De Paiva,PB
Renan da Luz,294 .***.***- 23,,,Rua não cadastrada,Bairro não cadastrado,PR
Caroline Costa,401 .***.***- 88,,,Rua não cadastrada,Bairro não cadastrado,RS
Giovanna Farias,241 .***.***- 35,,,Rua não cadastrada,Bairro não cadastrado,RJ
Maitê Araújo,496 .***.***- 55,,,Rua não cadastrada,Bairro não cadastrado,RS
Lavínia da Mota,039 .***.***- 00,,,Rua não cadastrada,Bairro não cadastrado,ES
Igor Cardoso,345 .***.***- 05,,,Rua não cadastrada,Bairro não cadastrado,AM
Maria Julia Campos,018 .***.***- 13,,,Rua não cadastrada,Bairro não cadastrado,MG
Marcos Vinicius das Neves,617 .***.***- 02,,,Rua não cadastrada,Bairro não cadastrado,RO
Isabel Barbosa,986 .***.***- 02,,,Rua não cadastrada,Bairro não cadastrado,MG
Ryan Gomes,861 .***.***- 60,,,Rua não cadastrada,Bairro não cadastrado,SP
Breno Duarte,463 .***.***- 98,,,Rua não cadastrada,Bairro não cadastrado,TO
Eloah Peixoto,064 .***.***- 16,,,Rua não cadastrada,Bairro não cadastrado,MG
Luiza Sales,726 .***.***- 80,,,Rua não cadastrada,Bairro não cadastrado,GO
Dr. Alexandre Sales,427 .***.***- 40,,,Rua não cadastrada,Bairro não cadastrado,SP
Alícia Campos,162 .***.***- 94,,,Rua não cadastrada,Bairro não cadastrado,GO
Isaac Oliveira,209 .***.***- 01,,,"Rodovia Cardoso, 377",Santa Cecilia,MT
Sr. João Cardoso,032 .***.***- 74,,,"Pátio Antônio da Mota, 79",Maria Virgínia,PR
Enzo Gabriel Vieira,812 .***.***- 76,,,Travessa Novaes,Boa Vista,TO
Theo da Conceição,846 .***.***- 46,,,"Fazenda Maria Ribeiro, 81",Vila São Paulo,SE
Dr. Diego da Mata,293 .***.***- 41,,,"Quadra de da Mota, 62",Alto Caiçaras,MG
Lívia Nunes,742 .***.***- 23,,,"Passarela de Porto, 65",Pousada Santo Antonio,PI
Joana Silva,349 .***.***- 57,,,Chácara Miguel Fogaça,Laranjeiras,PE
Luigi Porto,826 .***.***- 83,,,"Parque de Santos, 88",São João,PI
Letícia da Mata,308 .***.***- 31,,,"Aeroporto da Paz, 54",Vila São Dimas,PR
Dr. Thomas Nunes,967 .***.***- 46,,,"Vereda da Mota, 37",Vila Da Luz,SE
